year,Type,ProdectGroup,producer,volume,CostPerUnit,PricePerUnit, Revenues ,TotalCost,ProfitPercent,SummaryProfits
2018,ConvenienceStores,Sweets,Ferrero,888,1.41,1.79,"1,589.52","1,252.08",21,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,912,1.15,1.6,"1,459.20","1,048.80",28,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,888,1.15,1.79,"1,589.52","1,021.20",36,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,852,1.16,1.75,"1,491.00",988.32,34,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,1128,1.22,1.69,"1,906.32","1,376.16",28,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,1140,1.18,1.66,"1,892.40","1,345.20",29,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,876,1.15,1.69,"1,480.44","1,007.40",32,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,792,1.37,1.87,"1,481.04","1,085.04",27,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,900,1.22,1.69,"1,521.00","1,098.00",28,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,780,1.29,1.75,"1,365.00","1,006.20",26,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,1020,1.27,1.8,"1,836.00","1,295.40",29,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,912,1.48,1.9,"1,732.80","1,349.76",22,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,1212,1.32,1.81,"2,193.72","1,599.84",27,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,1104,1.24,1.73,"1,909.92","1,368.96",28,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,684,1.16,1.71,"1,169.64",793.44,32,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,864,1.23,1.6,"1,382.40","1,062.72",23,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,684,1.24,1.82,"1,244.88",848.16,32,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,972,1.38,1.89,"1,837.08","1,341.36",27,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,732,1.28,1.81,"1,324.92",936.96,29,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,1128,1.29,1.88,"2,120.64","1,455.12",31,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,1116,1.2,1.84,"2,053.44","1,339.20",35,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,1200,1.19,1.74,"2,088.00","1,428.00",32,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,1032,1.47,1.89,"1,950.48","1,517.04",22,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,756,1.21,1.6,"1,209.60",914.76,24,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,912,1.13,1.71,"1,559.52","1,030.56",34,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,876,1.31,1.67,"1,462.92","1,147.56",22,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,1140,1.41,1.79,"2,040.60","1,607.40",21,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,996,1.41,1.84,"1,832.64","1,404.36",23,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,1224,1.16,1.79,"2,190.96","1,419.84",35,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,1296,1.18,1.76,"2,280.96","1,529.28",33,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,624,1.12,1.79,"1,116.96",698.88,37,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,576,1.26,1.73,996.48,725.76,27,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,588,1.16,1.6,940.8,682.08,28,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,804,1.32,1.68,"1,350.72","1,061.28",21,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,1248,1.17,1.86,"2,321.28","1,460.16",37,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,1212,1.4,1.79,"2,169.48","1,696.80",22,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,576,1.13,1.8,"1,036.80",650.88,37,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,732,1.29,1.88,"1,376.16",944.28,31,Good Profit
2018,ConvenienceStores,Sweets,Ferrero,1152,1.24,1.74,"2,004.48","1,428.48",29,Good Profit
2018,ConvenienceStores,Ice cream,Cioccolatti Italiani,1908,2.43,3.43,"6,544.44","4,636.44",29,Good Profit
2018,ConvenienceStores,Ice cream,Cioccolatti Italiani,2220,2.53,3.5,"7,770.00","5,616.60",28,Good Profit
2018,ConvenienceStores,Ice cream,Cioccolatti Italiani,1428,2.68,3.68,"5,255.04","3,827.04",27,Good Profit
2018,ConvenienceStores,Meat,Mindi,468,5.9,8.4,"3,934.32","2,745.60",30,Good Profit
2018,ConvenienceStores,Fresh salads,Spani,780,2.73,3.49,"2,722.20","2,129.40",22,Good Profit
2018,ConvenienceStores,Fresh salads,Spani,912,2.06,3.35,"3,055.20","1,878.72",39,Good Profit
2018,ConvenienceStores,Ice cream,Grom,1656,2.63,3.48,"5,762.88","4,355.28",24,Good Profit
2018,ConvenienceStores,Ice cream,Grom,1752,2.89,3.77,"6,605.04","5,063.28",23,Good Profit
2018,ConvenienceStores,Ice cream,Grom,2388,2.53,3.56,"8,501.28","6,041.64",29,Good Profit
2018,ConvenienceStores,Ice cream,Grom,2628,2.66,3.98,"10,459.44","6,990.48",33,Good Profit
2018,ConvenienceStores,Ice cream,Rivareno,2064,2.78,3.62,"7,471.68","5,737.92",23,Good Profit
2018,ConvenienceStores,Ice cream,L'angolo vicino,1752,2.96,3.97,"6,955.44","5,185.92",25,Good Profit
2018,ConvenienceStores,Ice cream,L'angolo vicino,1260,2.57,3.69,"4,649.40","3,238.20",30,Good Profit
2018,ConvenienceStores,Ice cream,L'angolo vicino,1524,2.57,3.99,"6,080.76","3,916.68",36,Good Profit
2018,ConvenienceStores,Ice cream,L'angolo vicino,1356,2.62,3.93,"5,329.08","3,552.72",33,Good Profit
2018,ConvenienceStores,Ice cream,L'angolo vicino,1224,2.63,3.77,"4,614.48","3,219.12",30,Good Profit
2018,ConvenienceStores,Ice cream,Sadand,1968,2.32,3.62,"7,124.16","4,565.76",36,Good Profit
2018,ConvenienceStores,Ice cream,Sadand,1980,2.65,3.44,"6,811.20","5,247.00",23,Good Profit
2018,ConvenienceStores,Ice cream,Sadand,1596,2.52,4,"6,384.00","4,021.92",37,Good Profit
2018,ConvenienceStores,Ice cream,Sadand,2664,2.61,3.98,"10,602.72","6,953.04",34,Good Profit
2018,ConvenienceStores,Ice cream,Sadand,2412,2.56,3.89,"9,382.68","6,174.72",34,Good Profit
2018,ConvenienceStores,Ice cream,Sadand,1584,2.69,3.67,"5,813.28","4,260.96",27,Good Profit
2018,ConvenienceStores,Ice cream,Sadand,1692,3,3.79,"6,412.68","5,076.00",21,Good Profit
2018,ConvenienceStores,Ice cream,Sadand,1404,2.34,3.72,"5,222.88","3,285.36",37,Good Profit
2018,ConvenienceStores,Beverages,Heineken,120,1.04,1.35,162,124.8,23,Good Profit
2018,ConvenienceStores,Beverages,Heineken,144,1,1.34,192.96,144,25,Good Profit
2018,ConvenienceStores,Beverages,Heineken,120,1,1.27,152.4,120,21,Good Profit
2018,ConvenienceStores,Beverages,Heineken,108,1.09,1.37,147.96,117.72,20,Good Profit
2018,ConvenienceStores,Beverages,Heineken,132,1.08,1.4,184.8,142.56,23,Good Profit
2018,ConvenienceStores,Beverages,Heineken,96,1.02,1.32,126.72,97.92,23,Good Profit
2018,ConvenienceStores,Beverages,Heineken,132,1.01,1.27,167.64,133.32,20,Good Profit
2018,ConvenienceStores,Beverages,Heineken,144,1,1.36,195.84,144,26,Good Profit
2018,ConvenienceStores,Beverages,Heineken,96,1.07,1.38,132.48,102.72,22,Good Profit
2018,ConvenienceStores,Beverages,Heineken,168,1.05,1.36,228.48,176.4,23,Good Profit
2018,ConvenienceStores,Beverages,Tuborg,156,1.01,1.32,205.92,157.56,23,Good Profit
2018,ConvenienceStores,Ice cream,Optima,2256,2.49,3.85,"8,685.60","5,617.44",35,Good Profit
2018,ConvenienceStores,Ice cream,Optima,2664,2.76,3.51,"9,350.64","7,352.64",21,Good Profit
2018,ConvenienceStores,Ice cream,Optima,2712,2.77,3.51,"9,519.12","7,512.24",21,Good Profit
2018,ConvenienceStores,Ice cream,Optima,1896,2.61,3.67,"6,958.32","4,948.56",29,Good Profit
2018,ConvenienceStores,Cosmetics,Genco,276,4.09,5.16,"1,424.16","1,128.84",21,Good Profit
2018,ConvenienceStores,Cosmetics,Genco,252,4.05,5.22,"1,315.44","1,020.60",22,Good Profit
2018,ConvenienceStores,Cosmetics,Genco,360,4.02,5.34,"1,922.40","1,447.20",25,Good Profit
2018,ConvenienceStores,Cosmetics,Genco,384,4.01,5.22,"2,004.48","1,539.84",23,Good Profit
2018,ConvenienceStores,Cosmetics,Genco,300,4.26,5.33,"1,599.00","1,278.00",20,Good Profit
2018,ConvenienceStores,Cosmetics,Genco,552,4,5.01,"2,765.52","2,208.00",20,Good Profit
2018,ConvenienceStores,Cosmetics,Genco,696,4.02,5.35,"3,723.60","2,797.92",25,Good Profit
2018,ConvenienceStores,Beverages,Genco,84,1,1.35,113.4,84,26,Good Profit
2018,ConvenienceStores,Beverages,Genco,168,1,1.28,215.04,168,22,Good Profit
2018,ConvenienceStores,Ice cream,Brembo,2220,2.4,3.94,"8,746.80","5,328.00",39,Good Profit
2018,ConvenienceStores,Ice cream,Brembo,1500,2.62,3.42,"5,130.00","3,930.00",23,Good Profit
2018,ConvenienceStores,Ice cream,Brembo,1644,2.58,3.57,"5,869.08","4,241.52",28,Good Profit
2018,ConvenienceStores,Ice cream,Brembo,2616,2.92,3.93,"10,280.88","7,638.72",26,Good Profit
2018,ConvenienceStores,Ice cream,Brembo,2100,2.5,3.5,"7,350.00","5,250.00",29,Good Profit
2018,ConvenienceStores,Ice cream,Brembo,1344,2.63,3.3,"4,435.20","3,534.72",20,Good Profit
2018,ConvenienceStores,Ice cream,Brembo,1344,2.83,3.99,"5,362.56","3,803.52",29,Good Profit
2018,ConvenienceStores,Ice cream,Brembo,2592,2.59,3.45,"8,942.40","6,713.28",25,Good Profit
2018,ConvenienceStores,Ice cream,Brembo,1968,2.63,3.76,"7,399.68","5,175.84",30,Good Profit
2018,ConvenienceStores,Ice cream,Brembo,2088,2.94,3.95,"8,247.60","6,138.72",26,Good Profit
2018,ConvenienceStores,Coffee,Illy,7896,0.61,0.94,"7,422.24","4,816.56",35,Good Profit
2018,ConvenienceStores,Coffee,Illy,9168,0.72,1.05,"9,626.40","6,600.96",31,Good Profit
2018,ConvenienceStores,Coffee,Illy,4884,0.83,1.06,"5,177.04","4,053.72",22,Good Profit
2018,ConvenienceStores,Coffee,Illy,9312,0.69,0.94,"8,753.28","6,425.28",27,Good Profit
2018,ConvenienceStores,Coffee,Illy,5676,0.58,0.95,"5,392.20","3,292.08",39,Good Profit
2018,ConvenienceStores,Coffee,Illy,5340,0.72,0.94,"5,019.60","3,844.80",23,Good Profit
2018,ConvenienceStores,Coffee,Illy,9540,0.81,1.2,"11,448.00","7,727.40",33,Good Profit
2018,ConvenienceStores,Coffee,Illy,5340,0.87,1.12,"5,980.80","4,645.80",22,Good Profit
2018,ConvenienceStores,Coffee,Illy,5880,0.58,0.96,"5,644.80","3,410.40",40,Good Profit
2018,ConvenienceStores,Coffee,Illy,5952,0.73,1.14,"6,785.28","4,344.96",36,Good Profit
2018,ConvenienceStores,Coffee,Illy,5496,0.75,1.04,"5,715.84","4,122.00",28,Good Profit
2018,ConvenienceStores,Coffee,Illy,6624,0.75,1,"6,624.00","4,968.00",25,Good Profit
2018,ConvenienceStores,Coffee,Illy,9036,0.66,0.98,"8,855.28","5,963.76",33,Good Profit
2018,ConvenienceStores,Coffee,Illy,6648,0.72,1.18,"7,844.64","4,786.56",39,Good Profit
2018,ConvenienceStores,Fresh salads,Kraus,756,2.87,3.89,"2,940.84","2,169.72",26,Good Profit
2018,ConvenienceStores,Fresh salads,Kraus,1176,2.96,3.85,"4,527.60","3,480.96",23,Good Profit
2018,ConvenienceStores,Fresh salads,Kraus,708,2.55,3.72,"2,633.76","1,805.40",31,Good Profit
2018,ConvenienceStores,Fresh salads,Kraus,1128,2.25,3.73,"4,207.44","2,538.00",40,Good Profit
2018,ConvenienceStores,Fresh salads,Kraus,1032,2.53,3.56,"3,673.92","2,610.96",29,Good Profit
2018,ConvenienceStores,Fresh salads,Kraus,696,2.53,3.47,"2,415.12","1,760.88",27,Good Profit
2018,ConvenienceStores,Fresh salads,Kraus,852,2.68,3.94,"3,356.88","2,283.36",32,Good Profit
2018,ConvenienceStores,Fresh salads,Kraus,780,2.85,3.99,"3,112.20","2,223.00",29,Good Profit
2018,ConvenienceStores,Fresh salads,Kraus,936,2.43,3.36,"3,144.96","2,274.48",28,Good Profit
2018,ConvenienceStores,Fresh salads,Kraus,1080,2.52,3.5,"3,780.00","2,721.60",28,Good Profit
2018,ConvenienceStores,Fresh salads,Kraus,972,2.38,3.87,"3,761.64","2,313.36",39,Good Profit
2018,ConvenienceStores,Fresh salads,Kraus,804,2.69,3.61,"2,902.44","2,162.76",25,Good Profit
2018,ConvenienceStores,Fresh salads,Kraus,1128,2.46,3.52,"3,970.56","2,774.88",30,Good Profit
2018,ConvenienceStores,Fresh salads,Kraus,816,2.25,3.55,"2,896.80","1,836.00",37,Good Profit
2018,ConvenienceStores,Fresh salads,Fast&Easy,984,2.31,3.38,"3,325.92","2,273.04",32,Good Profit
2018,ConvenienceStores,Fresh salads,Fast&Easy,660,2.35,3.38,"2,230.80","1,551.00",30,Good Profit
2018,ConvenienceStores,Fresh salads,Fast&Easy,948,2.4,3.9,"3,697.20","2,275.20",38,Good Profit
2018,ConvenienceStores,Fresh salads,Fast&Easy,984,2.59,3.28,"3,227.52","2,548.56",21,Good Profit
2018,ConvenienceStores,Fresh salads,Fast&Easy,1080,2.67,3.64,"3,931.20","2,883.60",27,Good Profit
2018,ConvenienceStores,Fresh salads,Fast&Easy,948,2.02,3.21,"3,043.08","1,914.96",37,Good Profit
2018,ConvenienceStores,Fresh salads,Fast&Easy,756,2.97,3.81,"2,880.36","2,245.32",22,Good Profit
2018,ConvenienceStores,Fresh salads,Fast&Easy,1068,2.42,3.25,"3,471.00","2,584.56",26,Good Profit
2018,ConvenienceStores,Fresh salads,Fast&Easy,744,2.41,3.24,"2,410.56","1,793.04",26,Good Profit
2018,ConvenienceStores,Fresh salads,Fast&Easy,1044,2.79,3.83,"3,998.52","2,912.76",27,Good Profit
2018,ConvenienceStores,Fresh salads,Fast&Easy,924,2.38,3.49,"3,224.76","2,199.12",32,Good Profit
2018,ConvenienceStores,Fresh salads,Fast&Easy,936,2.8,3.8,"3,556.80","2,620.80",26,Good Profit
2018,ConvenienceStores,Fresh salads,Fast&Easy,1056,2.6,3.75,"3,960.00","2,745.60",31,Good Profit
2018,ConvenienceStores,Fresh salads,Fast&Easy,948,2.59,3.83,"3,630.84","2,455.32",32,Good Profit
2018,ConvenienceStores,Ice cream,Ice Allstars,2760,2.84,3.67,"10,129.20","7,838.40",23,Good Profit
2018,ConvenienceStores,Ice cream,Ice Allstars,1980,2.57,3.43,"6,791.40","5,088.60",25,Good Profit
2018,ConvenienceStores,Ice cream,Ice Allstars,2664,2.64,3.41,"9,084.24","7,032.96",23,Good Profit
2018,ConvenienceStores,Ice cream,Ice Allstars,2136,2.38,3.66,"7,817.76","5,083.68",35,Good Profit
2018,ConvenienceStores,Ice cream,Ice Allstars,2592,2.67,3.47,"8,994.24","6,920.64",23,Good Profit
2018,ConvenienceStores,Ice cream,Ice Allstars,2556,2.87,4,"10,224.00","7,335.72",28,Good Profit
2018,ConvenienceStores,Ice cream,Ice Allstars,2616,2.89,3.85,"10,071.60","7,560.24",25,Good Profit
2018,ConvenienceStores,Ice cream,Ice Allstars,2640,2.85,3.57,"9,424.80","7,524.00",20,Good Profit
2018,ConvenienceStores,Ice cream,Ice Allstars,1428,2.42,3.52,"5,026.56","3,455.76",31,Good Profit
2018,ConvenienceStores,Fresh salads,Doleo,1200,2.29,3.64,"4,368.00","2,748.00",37,Good Profit
2018,ConvenienceStores,Fresh salads,Doleo,672,2.63,3.71,"2,493.12","1,767.36",29,Good Profit
2018,ConvenienceStores,Fresh salads,Doleo,876,2.79,3.6,"3,153.60","2,444.04",23,Good Profit
2018,ConvenienceStores,Fresh salads,Doleo,612,2.71,3.39,"2,074.68","1,658.52",20,Good Profit
2018,ConvenienceStores,Fresh salads,Doleo,1104,2.65,3.55,"3,919.20","2,925.60",25,Good Profit
2018,ConvenienceStores,Fresh salads,Doleo,624,2.22,3.58,"2,233.92","1,385.28",38,Good Profit
2018,ConvenienceStores,Fresh salads,Doleo,708,2.55,3.41,"2,414.28","1,805.40",25,Good Profit
2018,ConvenienceStores,Fresh salads,Doleo,924,2.48,3.47,"3,206.28","2,291.52",29,Good Profit
2018,ConvenienceStores,Ice cream,Real ice,2124,2.89,3.94,"8,368.56","6,138.36",27,Good Profit
2018,ConvenienceStores,Ice cream,Real ice,1812,2.51,3.35,"6,070.20","4,548.12",25,Good Profit
2018,ConvenienceStores,Ice cream,Real ice,1356,2.39,3.69,"5,003.64","3,240.84",35,Good Profit
2018,ConvenienceStores,Cosmetics,L'Oreal,240,4,5.18,"1,243.20",960,23,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,600,2.72,3.52,"2,112.00","1,632.00",23,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,1080,2.44,3.55,"3,834.00","2,635.20",31,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,900,2.39,3.32,"2,988.00","2,151.00",28,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,636,2.61,3.97,"2,524.92","1,659.96",34,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,996,2.17,3.56,"3,545.76","2,161.32",39,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,1080,2.56,3.74,"4,039.20","2,764.80",32,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,804,2.14,3.29,"2,645.16","1,720.56",35,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,828,2.42,3.84,"3,179.52","2,003.76",37,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,840,2.56,3.42,"2,872.80","2,150.40",25,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,1200,2.44,3.75,"4,500.00","2,928.00",35,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,1056,2.77,3.72,"3,928.32","2,925.12",26,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,1008,2.22,3.62,"3,648.96","2,237.76",39,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,888,2.53,3.94,"3,498.72","2,246.64",36,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,1104,2.15,3.24,"3,576.96","2,373.60",34,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,1080,2.47,3.96,"4,276.80","2,667.60",38,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,1104,2.65,3.56,"3,930.24","2,925.60",26,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,1176,2.86,3.64,"4,280.64","3,363.36",21,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,1032,2.96,3.98,"4,107.36","3,054.72",26,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,924,2.29,3.33,"3,076.92","2,115.96",31,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,1164,2.73,3.79,"4,411.56","3,177.72",28,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,792,2.54,3.85,"3,049.20","2,011.68",34,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,1068,2.27,3.71,"3,962.28","2,424.36",39,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,1176,2.36,3.58,"4,210.08","2,775.36",34,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,1104,2.68,3.93,"4,338.72","2,958.72",32,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,876,2.5,3.83,"3,355.08","2,190.00",35,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,1104,2.48,3.63,"4,007.52","2,737.92",32,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,792,2.69,3.62,"2,867.04","2,130.48",26,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,1044,2.15,3.54,"3,695.76","2,244.60",39,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,732,2.15,3.43,"2,510.76","1,573.80",37,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,804,2.06,3.25,"2,613.00","1,656.24",37,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,936,2.33,3.43,"3,210.48","2,180.88",32,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,696,2.23,3.56,"2,477.76","1,552.08",37,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,1092,2.17,3.29,"3,592.68","2,369.64",34,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,864,2.15,3.24,"2,799.36","1,857.60",34,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,600,2.63,3.83,"2,298.00","1,578.00",31,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,876,2.38,3.83,"3,355.08","2,084.88",38,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,660,2.99,3.98,"2,626.80","1,973.40",25,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,600,2.19,3.53,"2,118.00","1,314.00",38,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,1080,2.5,3.44,"3,715.20","2,700.00",27,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,924,2.92,3.96,"3,659.04","2,698.08",26,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,1200,2.76,3.89,"4,668.00","3,312.00",29,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,888,2.22,3.4,"3,019.20","1,971.36",35,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,1164,2.26,3.45,"4,015.80","2,630.64",34,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,972,2.23,3.29,"3,197.88","2,167.56",32,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,1176,2.24,3.7,"4,351.20","2,634.24",39,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,1140,2.29,3.41,"3,887.40","2,610.60",33,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,792,2.37,3.72,"2,946.24","1,877.04",36,Good Profit
2018,ConvenienceStores,Fresh salads,Green stars,744,2.75,3.63,"2,700.72","2,046.00",24,Good Profit
2018,ConvenienceStores,Fresh salads,Bonduelle,780,2.36,3.77,"2,940.60","1,840.80",37,Good Profit
2018,ConvenienceStores,Fresh salads,Bonduelle,1080,2.83,3.59,"3,877.20","3,056.40",21,Good Profit
2018,ConvenienceStores,Fresh salads,Bonduelle,1104,2.44,3.33,"3,676.32","2,693.76",27,Good Profit
2018,ConvenienceStores,Fresh salads,Bonduelle,900,2.55,3.9,"3,510.00","2,295.00",35,Good Profit
2018,ConvenienceStores,Fresh salads,Bonduelle,972,2.46,3.43,"3,333.96","2,391.12",28,Good Profit
2018,ConvenienceStores,Fresh salads,Bonduelle,1044,2.57,3.47,"3,622.68","2,683.08",26,Good Profit
2018,ConvenienceStores,Fresh salads,Bonduelle,720,2.44,3.96,"2,851.20","1,756.80",38,Good Profit
